#    L    TT             EE             TE          
   268   0.463969E+04   0.439943E+01   0.900963E+02
   269   0.461279E+04   0.452464E+01   0.912655E+02
   270   0.458571E+04   0.465188E+01   0.924106E+02
   271   0.455822E+04   0.478108E+01   0.935314E+02
   272   0.453055E+04   0.491252E+01   0.946207E+02
   273   0.450247E+04   0.504562E+01   0.956934E+02
   274   0.447413E+04   0.518095E+01   0.967272E+02
   275   0.444547E+04   0.531799E+01   0.977444E+02
   276   0.441662E+04   0.545695E+01   0.987229E+02
   277   0.438737E+04   0.559784E+01   0.996849E+02
   278   0.435794E+04   0.574057E+01   0.100608E+03
   279   0.432825E+04   0.588506E+01   0.101500E+03
   280   0.429832E+04   0.603131E+01   0.102376E+03
   281   0.426827E+04   0.617938E+01   0.103214E+03
   282   0.423783E+04   0.632898E+01   0.104020E+03
   283   0.420728E+04   0.648031E+01   0.104795E+03
   284   0.417656E+04   0.663329E+01   0.105539E+03
   285   0.414565E+04   0.678794E+01   0.106253E+03
   286   0.411450E+04   0.694407E+01   0.106928E+03
   287   0.408317E+04   0.710171E+01   0.107580E+03
   288   0.405175E+04   0.726082E+01   0.108193E+03
   289   0.402014E+04   0.742135E+01   0.108776E+03
   290   0.398844E+04   0.758312E+01   0.109328E+03
   291   0.395664E+04   0.774689E+01   0.109835E+03
   292   0.392444E+04   0.791152E+01   0.110319E+03
   293   0.389244E+04   0.807664E+01   0.110757E+03
   294   0.386020E+04   0.824374E+01   0.111173E+03
   295   0.382808E+04   0.841131E+01   0.111543E+03
   296   0.379571E+04   0.858085E+01   0.111882E+03
   297   0.376333E+04   0.875011E+01   0.112192E+03
   298   0.373077E+04   0.892132E+01   0.112456E+03
   299   0.369827E+04   0.909373E+01   0.112683E+03
   300   0.366567E+04   0.926584E+01   0.112872E+03
   301   0.363306E+04   0.943915E+01   0.113031E+03
   302   0.360050E+04   0.961290E+01   0.113160E+03
   303   0.356791E+04   0.978783E+01   0.113244E+03
   304   0.353531E+04   0.996396E+01   0.113284E+03
   305   0.350276E+04   0.101398E+02   0.113294E+03
   306   0.347018E+04   0.103160E+02   0.113267E+03
   307   0.343766E+04   0.104927E+02   0.113195E+03
   308   0.340518E+04   0.106714E+02   0.113101E+03
   309   0.337283E+04   0.108489E+02   0.112956E+03
   310   0.334046E+04   0.110262E+02   0.112781E+03
   311   0.330820E+04   0.112054E+02   0.112562E+03
   312   0.327607E+04   0.113835E+02   0.112314E+03
   313   0.324399E+04   0.115621E+02   0.112021E+03
   314   0.321203E+04   0.117411E+02   0.111700E+03
   315   0.318019E+04   0.119191E+02   0.111335E+03
   316   0.314846E+04   0.120974E+02   0.110934E+03
   317   0.311686E+04   0.122748E+02   0.110497E+03
   318   0.308538E+04   0.124533E+02   0.110023E+03
   319   0.305408E+04   0.126307E+02   0.109514E+03
   320   0.302298E+04   0.128078E+02   0.108976E+03
   321   0.299200E+04   0.129854E+02   0.108395E+03
   322   0.296120E+04   0.131612E+02   0.107778E+03
   323   0.293060E+04   0.133366E+02   0.107125E+03
   324   0.290018E+04   0.135124E+02   0.106429E+03
   325   0.287003E+04   0.136850E+02   0.105713E+03
   326   0.283999E+04   0.138587E+02   0.104946E+03
   327   0.281022E+04   0.140314E+02   0.104151E+03
   328   0.278070E+04   0.142023E+02   0.103329E+03
   329   0.275137E+04   0.143728E+02   0.102464E+03
   330   0.272230E+04   0.145415E+02   0.101563E+03
   331   0.269356E+04   0.147092E+02   0.100636E+03
   332   0.266500E+04   0.148765E+02   0.996802E+02
   333   0.263671E+04   0.150420E+02   0.986900E+02
   334   0.260874E+04   0.152065E+02   0.976650E+02
   335   0.258096E+04   0.153683E+02   0.966053E+02
   336   0.255351E+04   0.155291E+02   0.955185E+02
   337   0.252639E+04   0.156889E+02   0.943897E+02
   338   0.249952E+04   0.158461E+02   0.932413E+02
   339   0.247305E+04   0.160029E+02   0.920585E+02
   340   0.244684E+04   0.161572E+02   0.908564E+02
   341   0.242088E+04   0.163089E+02   0.896126E+02
   342   0.239532E+04   0.164603E+02   0.883421E+02
   343   0.237009E+04   0.166084E+02   0.870451E+02
   344   0.234526E+04   0.167546E+02   0.857215E+02
   345   0.232067E+04   0.168983E+02   0.843715E+02
   346   0.229649E+04   0.170409E+02   0.830025E+02
   347   0.227263E+04   0.171802E+02   0.815999E+02
   348   0.224917E+04   0.173169E+02   0.801711E+02
   349   0.222602E+04   0.174518E+02   0.787162E+02
   350   0.220328E+04   0.175834E+02   0.772427E+02
   351   0.218108E+04   0.177131E+02   0.757433E+02
   352   0.215905E+04   0.178403E+02   0.742179E+02
   353   0.213748E+04   0.179642E+02   0.726816E+02
   354   0.211624E+04   0.180855E+02   0.711119E+02
   355   0.209546E+04   0.182044E+02   0.695238E+02
   356   0.207507E+04   0.183207E+02   0.679247E+02
   357   0.205507E+04   0.184337E+02   0.662998E+02
   358   0.203553E+04   0.185428E+02   0.646640E+02
   359   0.201630E+04   0.186493E+02   0.630025E+02
   360   0.199754E+04   0.187534E+02   0.613263E+02
   361   0.197915E+04   0.188543E+02   0.596311E+02
   362   0.196123E+04   0.189520E+02   0.579198E+02
   363   0.194369E+04   0.190472E+02   0.561948E+02
   364   0.192661E+04   0.191378E+02   0.544522E+02
   365   0.190990E+04   0.192259E+02   0.526981E+02
   366   0.189366E+04   0.193109E+02   0.509296E+02
   367   0.187786E+04   0.193913E+02   0.491488E+02
   368   0.186237E+04   0.194692E+02   0.473573E+02
   369   0.184747E+04   0.195440E+02   0.455528E+02
   370   0.183295E+04   0.196150E+02   0.437407E+02
   371   0.181881E+04   0.196821E+02   0.419171E+02
   372   0.180511E+04   0.197462E+02   0.400867E+02
   373   0.179187E+04   0.198064E+02   0.382463E+02
   374   0.177906E+04   0.198635E+02   0.363998E+02
   375   0.176663E+04   0.199168E+02   0.345472E+02
   376   0.175471E+04   0.199670E+02   0.326885E+02
   377   0.174324E+04   0.200128E+02   0.308267E+02
   378   0.173214E+04   0.200547E+02   0.289588E+02
   379   0.172147E+04   0.200937E+02   0.270894E+02
   380   0.171132E+04   0.201296E+02   0.252161E+02
   381   0.170153E+04   0.201588E+02   0.233421E+02
   382   0.169211E+04   0.201865E+02   0.214680E+02
   383   0.168320E+04   0.202097E+02   0.195925E+02
   384   0.167479E+04   0.202285E+02   0.177191E+02
   385   0.166667E+04   0.202451E+02   0.158466E+02
   386   0.165906E+04   0.202572E+02   0.139770E+02
   387   0.165181E+04   0.202649E+02   0.121106E+02
   388   0.164499E+04   0.202689E+02   0.102486E+02
   389   0.163860E+04   0.202671E+02   0.839125E+01
   390   0.163264E+04   0.202645E+02   0.654070E+01
   391   0.162710E+04   0.202569E+02   0.469551E+01
   392   0.162192E+04   0.202471E+02   0.285866E+01
   393   0.161724E+04   0.202322E+02   0.102944E+01
   394   0.161291E+04   0.202137E+02  -0.789907E+00
   395   0.160893E+04   0.201908E+02  -0.260084E+01
   396   0.160544E+04   0.201644E+02  -0.439979E+01
   397   0.160223E+04   0.201343E+02  -0.618805E+01
   398   0.159952E+04   0.201000E+02  -0.796427E+01
   399   0.159715E+04   0.200621E+02  -0.972757E+01
   400   0.159512E+04   0.200207E+02  -0.114770E+02
   401   0.159351E+04   0.199750E+02  -0.132121E+02
   402   0.159232E+04   0.199250E+02  -0.149318E+02
   403   0.159147E+04   0.198723E+02  -0.166358E+02
   404   0.159097E+04   0.198153E+02  -0.183226E+02
   405   0.159088E+04   0.197541E+02  -0.199930E+02
   406   0.159105E+04   0.196901E+02  -0.216450E+02
   407   0.159164E+04   0.196219E+02  -0.232801E+02
   408   0.159257E+04   0.195503E+02  -0.248940E+02
   409   0.159392E+04   0.194760E+02  -0.264890E+02
   410   0.159553E+04   0.193968E+02  -0.280645E+02
   411   0.159755E+04   0.193148E+02  -0.296183E+02
   412   0.159983E+04   0.192295E+02  -0.311512E+02
   413   0.160246E+04   0.191408E+02  -0.326619E+02
   414   0.160534E+04   0.190487E+02  -0.341504E+02
   415   0.160864E+04   0.189539E+02  -0.356147E+02
   416   0.161219E+04   0.188551E+02  -0.370564E+02
   417   0.161601E+04   0.187536E+02  -0.384747E+02
   418   0.162016E+04   0.186473E+02  -0.398668E+02
   419   0.162465E+04   0.185392E+02  -0.412335E+02
   420   0.162940E+04   0.184284E+02  -0.425749E+02
   421   0.163448E+04   0.183144E+02  -0.438898E+02
   422   0.163982E+04   0.181971E+02  -0.451787E+02
   423   0.164534E+04   0.180765E+02  -0.464398E+02
   424   0.165112E+04   0.179534E+02  -0.476737E+02
   425   0.165723E+04   0.178270E+02  -0.488784E+02
   426   0.166360E+04   0.176988E+02  -0.500547E+02
   427   0.167015E+04   0.175674E+02  -0.512035E+02
   428   0.167696E+04   0.174335E+02  -0.523211E+02
   429   0.168394E+04   0.172971E+02  -0.534090E+02
   430   0.169126E+04   0.171590E+02  -0.544675E+02
   431   0.169875E+04   0.170177E+02  -0.554951E+02
   432   0.170635E+04   0.168740E+02  -0.564926E+02
   433   0.171428E+04   0.167293E+02  -0.574573E+02
   434   0.172231E+04   0.165815E+02  -0.583920E+02
   435   0.173052E+04   0.164328E+02  -0.592948E+02
   436   0.173898E+04   0.162816E+02  -0.601657E+02
   437   0.174762E+04   0.161281E+02  -0.610033E+02
   438   0.175635E+04   0.159729E+02  -0.618078E+02
   439   0.176534E+04   0.158169E+02  -0.625806E+02
   440   0.177443E+04   0.156585E+02  -0.633190E+02
   441   0.178370E+04   0.154985E+02  -0.640252E+02
   442   0.179299E+04   0.153370E+02  -0.646972E+02
   443   0.180253E+04   0.151746E+02  -0.653357E+02
   444   0.181216E+04   0.150114E+02  -0.659393E+02
