#    L    TT             EE             TE          
   159   0.438219E+04   0.968070E+00  -0.428222E+02
   160   0.441069E+04   0.960048E+00  -0.426374E+02
   161   0.443898E+04   0.951814E+00  -0.424286E+02
   162   0.446699E+04   0.943218E+00  -0.421956E+02
   163   0.449486E+04   0.934334E+00  -0.419371E+02
   164   0.452229E+04   0.925235E+00  -0.416545E+02
   165   0.454959E+04   0.915846E+00  -0.413456E+02
   166   0.457660E+04   0.906313E+00  -0.410118E+02
   167   0.460339E+04   0.896415E+00  -0.406539E+02
   168   0.462974E+04   0.886520E+00  -0.402696E+02
   169   0.465581E+04   0.876331E+00  -0.398590E+02
   170   0.468158E+04   0.866070E+00  -0.394235E+02
   171   0.470692E+04   0.855736E+00  -0.389609E+02
   172   0.473189E+04   0.845254E+00  -0.384726E+02
   173   0.475642E+04   0.834622E+00  -0.379588E+02
   174   0.478065E+04   0.824137E+00  -0.374192E+02
   175   0.480452E+04   0.813500E+00  -0.368533E+02
   176   0.482787E+04   0.802934E+00  -0.362610E+02
   177   0.485086E+04   0.792363E+00  -0.356437E+02
   178   0.487341E+04   0.782007E+00  -0.350000E+02
   179   0.489551E+04   0.771568E+00  -0.343300E+02
   180   0.491733E+04   0.761267E+00  -0.336349E+02
   181   0.493864E+04   0.751102E+00  -0.329150E+02
   182   0.495951E+04   0.741145E+00  -0.321686E+02
   183   0.497987E+04   0.731321E+00  -0.313973E+02
   184   0.499987E+04   0.721702E+00  -0.306002E+02
   185   0.501943E+04   0.712435E+00  -0.297797E+02
   186   0.503820E+04   0.703377E+00  -0.289328E+02
   187   0.505683E+04   0.694667E+00  -0.280609E+02
   188   0.507495E+04   0.686289E+00  -0.271655E+02
   189   0.509250E+04   0.678278E+00  -0.262452E+02
   190   0.510992E+04   0.670684E+00  -0.253021E+02
   191   0.512646E+04   0.663528E+00  -0.243333E+02
   192   0.514266E+04   0.656831E+00  -0.233410E+02
   193   0.515828E+04   0.650634E+00  -0.223266E+02
   194   0.517355E+04   0.644967E+00  -0.212881E+02
   195   0.518824E+04   0.639865E+00  -0.202275E+02
   196   0.520237E+04   0.635362E+00  -0.191441E+02
   197   0.521608E+04   0.631502E+00  -0.180395E+02
   198   0.522929E+04   0.628305E+00  -0.169128E+02
   199   0.524201E+04   0.625807E+00  -0.157649E+02
   200   0.525424E+04   0.624035E+00  -0.145964E+02
   201   0.526590E+04   0.623048E+00  -0.134065E+02
   202   0.527707E+04   0.622850E+00  -0.121969E+02
   203   0.528767E+04   0.623500E+00  -0.109666E+02
   204   0.529764E+04   0.625019E+00  -0.971864E+01
   205   0.530711E+04   0.627450E+00  -0.845075E+01
   206   0.531594E+04   0.630827E+00  -0.716415E+01
   207   0.532428E+04   0.635172E+00  -0.585927E+01
   208   0.533190E+04   0.640535E+00  -0.453659E+01
   209   0.533895E+04   0.646937E+00  -0.319646E+01
   210   0.534544E+04   0.654428E+00  -0.183973E+01
   211   0.535136E+04   0.663037E+00  -0.466445E+00
   212   0.535657E+04   0.672790E+00   0.922502E+00
   213   0.536128E+04   0.683732E+00   0.232718E+01
   214   0.536534E+04   0.695854E+00   0.374642E+01
   215   0.536884E+04   0.709346E+00   0.517950E+01
   216   0.537170E+04   0.724021E+00   0.662699E+01
   217   0.537406E+04   0.740035E+00   0.808689E+01
   218   0.537578E+04   0.757385E+00   0.955946E+01
   219   0.537693E+04   0.776069E+00   0.110457E+02
   220   0.537750E+04   0.796235E+00   0.125412E+02
   221   0.537751E+04   0.817806E+00   0.140482E+02
   222   0.537695E+04   0.840931E+00   0.155652E+02
   223   0.537567E+04   0.865532E+00   0.170931E+02
   224   0.537397E+04   0.891608E+00   0.186280E+02
   225   0.537162E+04   0.919307E+00   0.201732E+02
   226   0.536871E+04   0.948626E+00   0.217247E+02
   227   0.536514E+04   0.979563E+00   0.232843E+02
   228   0.536108E+04   0.101212E+01   0.248503E+02
   229   0.535645E+04   0.104636E+01   0.264214E+02
   230   0.535117E+04   0.108230E+01   0.279983E+02
   231   0.534525E+04   0.111999E+01   0.295804E+02
   232   0.533882E+04   0.115937E+01   0.311661E+02
   233   0.533183E+04   0.120066E+01   0.327540E+02
   234   0.532411E+04   0.124370E+01   0.343449E+02
   235   0.531590E+04   0.128857E+01   0.359373E+02
   236   0.530704E+04   0.133527E+01   0.375312E+02
   237   0.529760E+04   0.138387E+01   0.391253E+02
   238   0.528759E+04   0.143444E+01   0.407194E+02
   239   0.527708E+04   0.148683E+01   0.423130E+02
   240   0.526585E+04   0.154112E+01   0.439038E+02
   241   0.525419E+04   0.159745E+01   0.454926E+02
   242   0.524196E+04   0.165567E+01   0.470787E+02
   243   0.522916E+04   0.171594E+01   0.486605E+02
   244   0.521577E+04   0.177816E+01   0.502390E+02
   245   0.520182E+04   0.184242E+01   0.518111E+02
   246   0.518736E+04   0.190871E+01   0.533784E+02
   247   0.517240E+04   0.197697E+01   0.549386E+02
